,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,Complain,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age
77,7503,1976,PG,Single,75825.0,12-10-2012,40,0,0,2209,2,22,39
78,10401,1976,PG,relationship,26326.0,04-09-2013,12,1,0,18,0,4,39
79,1618,1965,PG,relationship,56046.0,02-01-2013,9,0,0,692,2,21,50
80,3332,1985,PG,Single,29760.0,29-08-2012,87,0,1,165,0,12,30
81,2261,1969,PG,relationship,26304.0,23-06-2013,5,0,1,16,0,4,46
82,5346,1973,PG,relationship,23559.0,03-07-2013,87,0,1,79,0,9,42
83,4119,1963,PG,relationship,38620.0,11-05-2013,56,0,0,318,0,11,52
84,535,1987,PG,Single,81361.0,25-02-2014,18,0,0,778,0,27,28
85,5268,1960,PG,relationship,29440.0,11-08-2013,95,0,2,56,0,7,55
86,273,1970,PG,relationship,36138.0,16-07-2013,48,0,2,151,1,13,45
87,4452,1957,PG,Single,50388.0,28-05-2014,3,0,1,372,3,17,58
88,8504,1973,PG,relationship,79593.0,12-05-2014,70,0,0,1366,1,19,42
89,771,1967,PG,relationship,54178.0,21-01-2014,79,0,1,194,0,10,48
90,8996,1957,PG,relationship,52247.25135379061,19-11-2012,4,0,3,603,0,29,58
91,9235,1957,PG,Single,52247.25135379061,27-05-2014,45,0,2,18,0,4,58
92,5798,1973,PG,relationship,52247.25135379061,23-11-2013,87,0,0,985,0,15,42
93,11178,1972,PG,Single,42394.0,23-03-2014,69,0,1,32,0,5,43
94,2230,1970,PG,relationship,23626.0,24-05-2014,84,0,1,43,0,10,45
95,7516,1983,PG,relationship,30096.0,22-05-2014,30,0,1,45,0,6,32
96,7247,1960,PG,Single,47916.0,22-11-2012,72,0,1,606,1,22,55
97,11100,1972,PG,Single,51813.0,11-04-2013,37,0,2,63,0,7,43
98,4646,1951,PG,relationship,78497.0,01-12-2013,44,0,0,978,1,25,64
99,3037,1983,PG,relationship,50150.0,20-06-2013,32,0,0,410,0,16,32
100,1473,1960,PG,Single,47823.0,23-07-2013,0,0,1,72,0,7,55
101,1016,1959,PG,Single,34554.0,30-03-2014,43,0,1,55,0,7,56
102,4518,1979,PG,relationship,85693.0,20-04-2013,59,0,1,1169,0,27,36
103,9370,1945,PG,relationship,65846.0,17-05-2013,68,0,0,1120,0,16,70
104,8908,1959,PG,relationship,87195.0,08-05-2014,35,0,0,1097,1,20,56
105,8373,1979,UG,relationship,24594.0,10-12-2013,94,0,1,29,0,5,36
106,7533,1964,PG,relationship,49096.0,24-09-2013,15,0,2,187,0,13,51
107,2683,1969,PG,relationship,52413.0,02-02-2013,56,0,2,910,0,26,46
108,3629,1978,PG,Single,38557.0,19-12-2012,17,0,1,145,0,9,37
109,10991,1960,PG,relationship,89058.0,07-12-2012,18,0,0,850,0,14,55
110,5077,1979,PG,relationship,77298.0,02-11-2013,46,0,1,969,0,24,36
111,7431,1991,PG,Single,68126.0,10-11-2012,40,0,0,1820,2,17,24
112,3267,1963,PG,relationship,57288.0,25-06-2014,27,0,1,608,1,20,52
113,999,1991,PG,Single,86037.0,02-01-2013,95,0,0,730,3,25,24
114,9215,1980,PG,relationship,43974.0,12-12-2012,19,0,1,551,0,21,35
115,2286,1962,PG,Single,50785.0,10-09-2013,27,0,2,114,0,8,53
116,1592,1970,PG,relationship,90765.0,24-01-2014,25,0,0,1724,2,15,45
117,367,1978,PG,relationship,36550.0,19-02-2013,74,0,1,577,0,20,37
118,5234,1967,PG,relationship,30753.0,11-07-2013,85,0,2,81,0,7,48
119,9862,1969,PG,relationship,21918.0,14-11-2013,37,0,1,33,0,7,46
120,9805,1953,PG,relationship,56129.0,20-06-2013,65,0,1,660,0,22,62
121,6205,1967,PG,Single,32557.0,24-02-2014,13,0,1,80,1,9,48
122,8442,1985,PG,relationship,19510.0,04-09-2013,63,0,2,30,0,6,30
123,7386,1976,PG,Single,30992.0,22-04-2013,83,0,1,43,0,5,39
124,7215,1983,PG,Single,101970.0,12-03-2013,69,0,0,1135,4,27,32
125,1491,1965,PG,relationship,71488.0,18-02-2013,87,0,0,559,0,16,50
126,11071,1984,PG,Single,79607.0,21-04-2013,37,0,0,1923,1,16,31
127,3381,1953,PG,relationship,54348.0,08-06-2014,51,0,2,90,0,8,62
128,8268,1961,PG,relationship,52247.25135379061,11-07-2013,23,0,1,404,0,17,54
129,11051,1956,PG,relationship,77376.0,10-05-2014,72,0,2,661,0,23,59
130,8026,1952,PG,relationship,62998.0,30-09-2013,10,0,1,463,0,19,63
131,433,1958,PG,Single,61331.0,10-03-2013,42,0,2,632,0,23,57
132,9597,1969,PG,relationship,73448.0,10-02-2014,10,0,0,725,0,19,46
133,1295,1963,PG,relationship,52247.25135379061,11-08-2013,96,0,1,725,0,19,52
134,5290,1964,PG,relationship,41551.0,14-08-2013,51,0,2,279,0,16,51
135,1685,1967,PG,relationship,62981.0,17-03-2013,21,0,0,1482,1,23,48
136,5342,1976,UG,Single,9548.0,08-08-2012,31,0,1,29,0,6,39
137,9579,1959,PG,relationship,33762.0,07-07-2013,61,0,3,106,0,9,56
138,7660,1973,PG,Single,35860.0,19-05-2014,37,0,2,49,2,6,42
139,1461,1965,PG,Single,36921.0,28-07-2013,74,0,2,38,0,7,50
140,821,1992,PG,Single,92859.0,19-10-2012,46,0,0,2077,0,22,23
141,11084,1976,PG,relationship,65104.0,14-11-2013,4,0,1,1053,1,17,39
142,8690,1962,PG,relationship,86111.0,19-04-2013,73,0,0,1385,0,23,53
143,2937,1974,PG,Single,68352.0,28-08-2013,47,0,1,871,0,25,41
144,9701,1988,PG,relationship,41883.0,19-03-2013,13,0,1,312,0,12,27
145,9949,1976,PG,relationship,59809.0,18-10-2012,36,0,2,877,0,15,39
146,10837,1975,PG,relationship,23957.0,28-10-2012,47,0,1,68,1,6,40
147,3120,1981,PG,relationship,38547.0,28-08-2013,49,1,1,22,0,4,34
148,5885,1973,PG,relationship,35688.0,22-08-2012,94,0,3,211,0,16,42
149,4050,1966,PG,relationship,49605.0,21-06-2014,65,0,0,127,0,8,49
150,3830,1953,PG,relationship,59354.0,24-04-2014,59,0,2,459,0,16,62
151,7987,1969,PG,relationship,65747.0,07-03-2014,96,0,1,460,1,19,46
152,7798,1972,PG,relationship,46344.0,14-12-2012,28,0,1,429,0,17,43
153,92,1988,PG,Single,34176.0,12-05-2014,12,0,1,89,0,11,27
154,7055,1952,PG,relationship,61010.0,09-10-2012,57,0,1,1021,0,26,63
155,10240,1949,PG,relationship,69372.0,19-02-2013,10,0,0,1381,3,21,66
156,3025,1958,PG,Single,49967.0,08-07-2013,4,0,1,306,0,15,57
157,9283,1978,PG,Single,60199.0,12-09-2013,49,0,3,18,0,4,37
158,9970,1977,PG,relationship,55375.0,17-10-2013,3,0,1,162,0,9,38
159,2730,1955,PG,Single,80317.0,20-08-2013,64,0,0,1231,0,18,60
160,2795,1958,PG,Single,30523.0,01-07-2013,0,0,3,13,0,4,57
161,9260,1945,PG,relationship,70356.0,05-11-2012,20,0,0,1706,0,27,70
162,8182,1984,PG,relationship,23228.0,05-01-2014,91,0,1,121,0,11,31
163,10095,1975,PG,Single,74165.0,01-05-2013,9,0,0,1293,0,20,40
164,8475,1973,PG,relationship,157243.0,01-03-2014,98,0,1,1608,0,37,42
165,4370,1966,PG,relationship,43482.0,13-11-2013,83,0,3,88,0,9,49
166,10573,1953,PG,Single,62551.0,18-11-2013,27,0,0,421,1,18,62
167,3712,1959,PG,Single,52332.0,28-08-2013,63,0,0,259,1,12,56
168,6637,1988,PG,Single,66951.0,02-11-2013,46,0,0,1117,0,15,27
169,3152,1957,PG,relationship,26091.0,25-02-2014,84,0,2,89,0,9,58
170,5610,1965,PG,relationship,33456.0,21-04-2014,58,0,2,36,0,6,50
171,6460,1982,PG,relationship,28718.0,13-07-2013,78,0,1,57,0,7,33
172,1349,1970,PG,relationship,50447.0,21-04-2014,4,0,2,148,0,8,45
173,1880,1959,PG,relationship,53537.0,30-01-2014,17,0,2,93,0,8,56
174,641,1967,PG,Single,52074.0,04-04-2014,77,0,1,119,1,7,48
175,8717,1975,PG,relationship,80427.0,12-09-2012,56,0,1,1835,0,28,40
176,10314,1948,PG,relationship,83837.0,16-12-2012,79,0,0,1318,3,25,67
177,10854,1970,PG,relationship,38853.0,23-05-2014,90,0,2,45,0,7,45
178,10492,1959,PG,relationship,38285.0,24-06-2014,96,0,3,10,0,4,56
179,6935,1951,PG,relationship,78497.0,01-12-2013,44,0,0,978,1,25,64
180,7698,1976,PG,relationship,51650.0,11-05-2014,81,0,1,191,0,10,39
181,3559,1988,PG,relationship,16248.0,10-05-2014,77,0,1,57,0,9,27
182,10562,1946,PG,relationship,66835.0,28-09-2013,21,0,0,1033,0,24,69
183,10796,1984,PG,relationship,30477.0,22-01-2014,16,0,1,66,0,6,31
184,2563,1961,UG,relationship,28249.0,15-06-2014,80,0,0,43,0,6,54
185,3518,1983,PG,relationship,25271.0,05-12-2012,45,0,1,50,0,5,32
186,5823,1970,PG,Single,32303.0,08-03-2014,63,0,1,39,0,7,45
187,3934,1966,PG,relationship,61286.0,02-08-2013,34,0,1,608,0,18,49
188,6982,1976,PG,relationship,74068.0,19-03-2013,14,0,0,1581,0,24,39
189,6431,1964,PG,relationship,45759.0,23-02-2013,13,0,2,68,0,7,51
190,9733,1978,UG,relationship,24882.0,09-09-2012,52,0,1,80,1,5,37
191,5602,1989,PG,relationship,66973.0,17-05-2013,98,0,0,1282,0,28,26
192,7829,1900,PG,Single,36640.0,26-09-2013,99,1,1,65,0,6,115
193,1324,1988,PG,relationship,38872.0,30-05-2013,93,0,1,91,0,8,27
194,326,1973,PG,relationship,51148.0,18-02-2013,38,0,2,315,0,16,42
195,7224,1977,PG,relationship,31353.0,29-12-2013,24,0,2,31,0,6,38
196,6999,1980,PG,relationship,69661.0,13-05-2014,80,0,0,834,0,23,35
197,9938,1954,PG,relationship,80067.0,19-09-2013,82,0,0,1600,1,17,61
198,6422,1954,PG,relationship,86718.0,17-01-2013,20,0,0,1270,0,17,61
199,3182,1973,PG,Single,46854.0,31-03-2014,81,0,2,263,2,15,42
200,7300,1952,PG,Single,69142.0,29-06-2014,50,0,1,535,1,19,63
201,10424,1968,PG,Single,75922.0,09-12-2013,60,0,0,1295,0,18,47
202,8727,1978,PG,Single,63693.0,14-10-2013,63,0,1,1150,0,29,37
203,2798,1977,PG,relationship,102160.0,02-11-2012,54,0,0,1240,4,26,38
204,1030,1965,PG,Single,40637.0,17-07-2013,72,0,2,38,0,6,50
205,624,1984,PG,Single,18890.0,10-11-2012,5,0,0,35,2,4,31
206,5176,1988,PG,relationship,29604.0,08-12-2013,88,0,1,53,1,5,27
207,5552,1963,PG,Single,48721.0,13-05-2013,50,0,2,293,0,17,52
208,868,1966,PG,relationship,44794.0,08-06-2014,99,0,1,65,0,6,49
209,380,1954,PG,Single,64497.0,10-09-2012,17,0,1,1804,2,29,61
210,2677,1956,PG,relationship,46097.0,31-03-2013,11,0,1,241,0,15,59
211,6521,1954,PG,relationship,77972.0,18-03-2014,18,0,0,1101,0,20,61
212,6927,1968,PG,relationship,44377.0,05-10-2012,70,0,2,264,0,19,47
213,2877,1974,PG,relationship,46014.0,21-01-2013,21,0,2,541,0,26,41
214,0,1985,PG,relationship,70951.0,04-05-2013,66,0,0,1198,0,17,30
215,1584,1977,PG,relationship,41443.0,01-04-2014,79,0,1,482,0,20,38
216,7264,1978,PG,Single,52195.0,12-05-2014,2,0,3,17,0,4,37
217,6274,1948,PG,relationship,83790.0,15-11-2013,81,0,0,1615,2,25,67
218,1377,1954,PG,Single,44551.0,31-08-2013,24,0,1,285,0,12,61
219,454,1980,PG,relationship,69508.0,14-11-2012,48,0,1,1135,0,28,35
220,1755,1988,PG,relationship,45204.0,11-04-2014,93,0,1,114,0,7,27
221,2075,1969,PG,relationship,72460.0,14-11-2013,56,0,0,1047,0,16,46
222,4785,1970,PG,relationship,77622.0,14-04-2014,3,0,2,714,0,22,45
223,9076,1980,PG,relationship,30732.0,05-01-2013,44,0,1,185,0,13,35
224,7079,1962,PG,Single,63887.0,08-09-2012,38,0,1,1245,0,32,53
225,4653,1978,PG,relationship,42011.0,26-03-2013,46,0,1,189,0,12,37
226,7375,1976,PG,relationship,51369.0,25-10-2012,84,0,1,576,0,16,39
227,709,1952,PG,Single,51537.0,09-12-2012,27,0,1,1103,0,18,63
228,460,1972,PG,relationship,79930.0,08-08-2012,72,0,0,1753,0,17,43
229,3726,1986,PG,relationship,34320.0,16-02-2014,66,0,1,17,0,4,29
230,6798,1966,PG,Single,37070.0,20-03-2013,30,0,2,433,1,23,49
231,5341,1962,PG,Single,81975.0,05-01-2013,2,0,1,1588,1,14,53
232,1606,1971,PG,relationship,38590.0,15-05-2013,65,0,1,22,0,4,44
233,9617,1951,PG,Single,15033.0,16-04-2014,37,0,0,19,0,5,64
234,3233,1965,PG,relationship,62745.0,23-03-2013,89,0,1,1117,0,29,50
235,89,1975,PG,relationship,22212.0,09-12-2013,49,0,1,69,0,8,40
236,2936,1982,PG,relationship,23661.0,04-12-2013,46,0,1,23,0,5,33
237,9449,1958,PG,Single,79761.0,04-10-2013,32,0,1,605,0,19,57
238,7297,1973,PG,Single,7500.0,26-12-2013,54,0,1,57,0,11,42
239,11004,1893,PG,Single,60182.0,17-05-2014,23,0,1,22,0,4,122
240,313,1968,PG,Single,73455.0,28-10-2013,98,0,0,2088,1,22,47
241,9940,1958,PG,relationship,64961.0,23-12-2012,97,0,1,1009,0,16,57
242,10735,1971,PG,Single,22804.0,31-07-2013,75,0,1,26,0,5,44
243,9529,1990,PG,relationship,73687.0,28-11-2013,8,0,0,1627,2,22,25
244,6439,1958,PG,relationship,61074.0,17-08-2012,37,0,1,1102,0,31,57
245,7411,1964,PG,relationship,31686.0,05-06-2014,31,0,2,17,0,6,51
246,2176,1972,PG,relationship,80134.0,20-05-2013,40,0,1,1690,4,16,43
247,9265,1953,PG,relationship,75027.0,09-01-2013,74,0,1,1390,0,21,62
248,8867,1988,PG,relationship,67546.0,31-08-2012,90,0,0,2126,0,20,27
249,8932,1969,PG,relationship,65176.0,29-10-2012,57,0,1,1531,0,25,46
250,10236,1975,PG,Single,31160.0,16-09-2013,59,0,1,64,0,7,40
251,6340,1985,PG,Single,29938.0,27-10-2013,52,0,1,26,0,6,30
252,10089,1974,PG,Single,102692.0,05-04-2013,5,0,0,1112,5,29,41
253,2227,1958,PG,relationship,26490.0,22-09-2012,92,0,0,210,0,11,57
254,10992,1967,PG,relationship,75702.0,29-08-2012,77,0,2,1148,0,26,48
255,5304,1974,PG,Single,30899.0,13-10-2012,35,0,1,33,0,6,41
256,309,1961,PG,relationship,63342.0,16-10-2012,48,0,1,1101,1,19,54
257,3406,1964,PG,Single,45989.0,22-10-2012,97,0,1,322,0,16,51
258,2661,1964,PG,Single,18701.0,04-06-2013,95,0,2,44,0,10,51
259,3153,1957,PG,Single,40737.0,08-12-2013,24,0,3,17,0,4,58
260,10264,1979,PG,Single,15287.0,10-10-2012,60,0,1,31,2,6,36
261,1184,1968,PG,Single,69674.0,22-05-2013,46,0,2,845,0,25,47
262,4200,1970,PG,relationship,44159.0,17-06-2014,85,0,1,275,0,15,45
263,9396,1978,PG,relationship,37717.0,23-11-2012,31,0,1,25,0,4,37
264,2387,1952,PG,relationship,43776.0,03-02-2013,9,0,2,275,1,17,63
265,6690,1966,PG,relationship,38179.0,14-03-2013,30,0,2,90,0,11,49
266,1225,1963,PG,relationship,80124.0,26-06-2014,47,0,0,1495,1,19,52
267,9703,1970,PG,relationship,38097.0,15-10-2012,70,0,2,184,2,11,45
268,291,1970,PG,relationship,72940.0,19-06-2013,13,0,0,981,0,13,45
269,4557,1970,PG,relationship,22070.0,04-10-2013,11,0,1,67,0,8,45
270,2379,1953,PG,Single,69267.0,22-09-2012,31,0,0,1635,1,14,62
271,5726,1983,PG,Single,31788.0,20-03-2014,15,1,1,60,0,10,32
272,3066,1975,PG,relationship,61905.0,04-02-2014,2,0,1,231,0,12,40
273,6336,1960,PG,relationship,29315.0,06-04-2014,55,0,2,48,0,10,55
274,10967,1963,PG,Single,33378.0,06-02-2013,38,0,2,99,0,9,52
275,2304,1963,PG,relationship,66313.0,16-09-2013,86,0,1,770,0,23,52
276,3445,1956,PG,Single,60714.0,17-01-2013,56,0,0,957,1,23,59
277,7828,1981,PG,relationship,77882.0,30-04-2014,29,0,0,818,0,12,34
278,3762,1986,PG,Single,69867.0,02-04-2013,30,0,0,925,2,17,29
279,4391,1968,PG,Single,63841.0,21-04-2013,64,0,1,908,0,22,47
280,4669,1981,UG,relationship,24480.0,11-02-2013,46,0,1,102,0,10,34
281,10144,1976,PG,relationship,51369.0,25-10-2012,84,0,1,576,0,16,39
282,8652,1946,PG,relationship,37760.0,31-08-2012,20,0,0,317,0,13,69
283,1672,1974,PG,relationship,65640.0,01-03-2014,74,0,1,461,0,15,41
284,8962,1975,PG,relationship,44319.0,17-04-2014,18,0,2,37,0,7,40
285,9974,1974,PG,relationship,30631.0,12-07-2013,75,0,1,70,0,7,41
286,10983,1952,PG,relationship,75278.0,29-01-2013,17,0,0,930,0,23,63
287,8148,1956,PG,relationship,50898.0,08-01-2013,88,0,2,859,0,33,59
288,10102,1966,PG,Single,79946.0,12-05-2014,19,0,0,1478,0,22,49
289,4697,1949,PG,Single,35416.0,13-06-2013,62,0,0,390,0,16,66
290,9262,1984,PG,relationship,32414.0,04-07-2013,11,0,0,52,1,5,31
291,7254,1969,PG,relationship,38361.0,27-12-2013,74,0,1,137,0,10,46
292,4543,1980,PG,relationship,82497.0,31-10-2012,32,0,0,1919,1,19,35
293,4927,1971,PG,relationship,16626.0,15-01-2014,76,0,2,68,0,9,44
294,10451,1965,PG,relationship,29672.0,12-03-2013,6,0,2,25,0,4,50
295,2926,1952,PG,relationship,55951.0,23-08-2012,62,0,1,1374,2,23,63
296,2874,1988,PG,Single,35388.0,07-03-2013,20,0,1,32,0,5,27
297,9738,1986,PG,relationship,42386.0,13-01-2013,43,0,1,100,0,7,29
298,7119,1982,PG,Single,68627.0,12-01-2013,45,0,0,825,0,12,33
299,3924,1965,PG,Single,57912.0,17-03-2014,34,0,1,916,1,28,50
300,5827,1958,PG,Single,35246.0,16-04-2014,53,0,2,62,0,11,57
301,5596,1956,PG,relationship,58821.0,12-10-2013,44,0,1,728,0,21,59
302,10812,1978,PG,relationship,46377.0,01-03-2014,89,0,1,90,0,7,37
303,1717,1988,PG,Single,39747.0,13-04-2014,43,0,1,273,0,13,27
304,9491,1984,PG,relationship,23976.0,27-12-2013,68,0,1,66,0,10,31
305,9274,1961,PG,relationship,80950.0,28-03-2013,44,0,0,1213,1,23,54
306,6609,1966,PG,Single,27038.0,18-09-2012,64,0,0,107,1,7,49
307,6963,1947,PG,Single,77457.0,05-03-2014,85,0,0,1157,1,18,68
308,4440,1964,PG,relationship,64100.0,10-09-2013,93,0,1,546,1,18,51
309,1379,1992,PG,relationship,42670.0,27-04-2013,12,0,0,241,0,11,23
310,10032,1976,PG,Single,12571.0,18-01-2014,86,0,1,53,0,11,39
311,2826,1967,PG,relationship,22574.0,28-10-2013,28,0,3,37,0,7,48
312,2437,1989,PG,relationship,52247.25135379061,03-06-2013,69,0,0,1611,2,24,26
313,6320,1976,PG,Single,70893.0,06-02-2013,42,0,0,1508,0,23,39
314,3050,1966,PG,relationship,54198.0,17-12-2013,13,0,2,235,0,16,49
315,231,1956,PG,relationship,28839.0,11-03-2014,86,0,2,32,0,7,59
316,2392,1972,PG,relationship,40321.0,29-07-2013,59,0,2,102,0,8,43
317,9478,1985,PG,Single,66503.0,14-08-2012,30,0,1,401,0,15,30
318,113,1951,PG,relationship,30833.0,16-07-2013,33,0,2,28,0,6,64
319,2863,1970,PG,Single,52247.25135379061,23-08-2013,67,0,3,1052,2,21,45
320,1802,1971,PG,relationship,64795.0,17-01-2013,23,0,1,680,0,21,44
321,520,1974,PG,relationship,34421.0,01-07-2013,81,0,1,30,0,4,41
322,8275,1965,PG,Single,47025.0,09-02-2014,6,0,2,20,0,4,50
323,9750,1961,PG,Single,64325.0,07-02-2013,41,0,1,1307,0,23,54
324,2607,1953,PG,Single,40464.0,11-01-2013,78,0,1,630,0,24,62
325,7214,1957,PG,relationship,62187.0,05-07-2013,49,0,0,1283,0,18,58
326,5835,1976,PG,Single,14849.0,02-07-2013,39,0,1,65,0,9,39
327,3896,1984,PG,relationship,27255.0,07-11-2013,3,0,1,37,0,5,31
328,10350,1950,PG,relationship,54432.0,09-05-2013,37,0,3,38,0,5,65
329,7786,1986,PG,Single,29999.0,13-02-2013,22,0,1,160,0,12,29
330,2861,1983,PG,Single,24072.0,16-04-2013,79,0,1,23,0,4,32
331,663,1989,PG,Single,33996.0,11-09-2013,46,0,0,71,0,6,26
332,10675,1956,PG,relationship,66334.0,03-04-2013,82,0,1,1161,1,19,59
333,2521,1971,PG,relationship,35178.0,10-01-2013,10,0,1,59,2,5,44
334,9592,1983,PG,relationship,22010.0,30-06-2013,51,0,1,33,0,7,32
335,10151,1960,PG,Single,62204.0,12-09-2012,38,0,2,946,0,22,55
336,7381,1968,PG,Single,75693.0,06-12-2012,10,0,0,1442,4,22,47
337,4099,1972,PG,relationship,30675.0,12-11-2012,14,0,1,62,0,5,43
